PITCHERS - SD,IP,H,R,ER,BB,SO,HR,ERA
"Musgrove(W, 1-0)",7.0,1,0,0,1,5,0,0.00
"Suarez, R",1.0,0,0,0,0,2,0,0.00
Hader,1.0,0,0,0,0,1,0,0.00
,9.0,1,0,0,1,8,0,
