BATTERS - HOU,AB,R,H,RBI,BB,SO,LOB,AVG,OPS
Altuve2B,3,1,3,0,1,0,0,.286,.884
Gurriel1B,4,0,2,0,0,0,2,.248,.674
"Alvarez, YLF",4,0,0,0,0,0,2,.294,.999
Bregman3B,3,3,2,0,1,0,0,.267,.847
VázquezC,3,1,2,1,1,1,1,.292,.761
ManciniDH,4,1,1,3,0,3,2,.263,.762
PeñaSS,4,0,1,1,0,0,1,.247,.703
DubónRF,4,0,0,0,0,2,1,.218,.579
MeyersCF,3,0,0,0,0,1,0,.212,.566
,32,6,11,5,3,7,9,,
