PITCHERS - HOU,IP,H,R,ER,BB,SO,HR,ERA
"Garcia, L(W, 11-8)",5.0,5,3,3,1,5,1,4.14
"Smith, W.M.(H, 13)",1.0,1,0,0,0,1,0,4.30
"Maton, P(H, 11)",1.0,1,0,0,0,1,0,4.38
"Neris(H, 21)",1.0,0,0,0,0,2,0,3.61
"Montero(S, 8)",1.0,0,0,0,0,1,0,2.56
,9.0,7,3,3,1,10,1,
