Year,Team,Avg HR Trot,Actual HR,xHR,HR-xHR,Doubters,Mostly Gone,No Doubters,No Doubter %
2017,,24.1,24,19.8,4,4,13,9,37.5
2018,,24.6,29,30.4,-1,16,16,16,55.2
2019,,23.7,36,37.2,-1,12,27,16,44.4
2020,,24.3,16,16.2,0,3,8,9,56.3
2021,,24.5,39,39.3,0,10,26,19,48.7
2022,,24.7,36,37.4,-1,9,37,8,22.2
Player,,24.3,180,180.3,0,54,127,77,42.8
