 , , , ,1B, ,2B, ,3B, ,SS, ,LF, ,CF, ,RF
Year,Total Throws,Max,Overall,Throws,Arm,Throws,Arm,Throws,Arm,Throws,Arm,Throws,Arm,Throws,Arm,Throws,Arm
2020,209,83.6,79.5,209,79.5,--,--,--,--,--,--,--,--,--,--,--,--
2021,811,84.1,78.9,811,78.9,--,--,--,--,--,--,--,--,--,--,--,--
2022,837,75.2,72.8,837,72.8,--,--,--,--,--,--,--,--,--,--,--,--
