Season,Age,Sprint Speed (ft/s),HP to 1st,Bolts,Pos Rank,Age Rank,Lg Rank,% Rank
2016,22,24.5,,,67,18,589,14.2
2017,23,24.3,4.72,,51,35,592,11.9
2018,24,25.9,4.53,,39,50,474,29.3
2019,25,26.2,4.55,,23,55,436,36.3
2020,26,25.9,4.65,,29,54,361,28.0
2021,27,25.9,4.65,,36,61,490,27.6
2022,28,26.3,4.65,,20,36,452,27.6
