Season,Team,Pos,PA,Depth (ft.),Angle
2016,OAK,9,146,299,29
2016,OAK,3,75,117,34
2017,OAK,3,1483,111,35
2017,OAK,9,385,298,27
2018,OAK,3,5818,112,36
2019,OAK,3,4587,112,36
2020,OAK,3,2084,109,35
2021,OAK,3,5644,111,34
2022,ATL,3,5979,112,36
