PITCHERS - NYM,IP,H,R,ER,BB,SO,HR,ERA
"Szapucki(L, 0-1)",1.1,7,9,9,3,2,4,60.75
Williams,3.2,1,0,0,2,5,0,4.37
Holderman,1.0,0,0,0,0,2,0,0.00
Shreve,1.0,0,0,0,0,0,0,4.50
Lugo,1.0,0,0,0,0,1,0,4.00
,8.0,8,9,9,5,10,4,
