 , , ,,Runs
Year,Team,PA,Pitches,Heart,Shadow,Chase,Waste,All
2011,,485,"1,833",-7,-4,10,8,7
2012,,185,745,3,-6,5,4,6
2013,,213,879,-1,-10,5,3,-4
2014,,319,"1,325",2,5,9,7,22
2015,,456,"1,788",7,-6,17,6,24
2016,,667,"2,643",4,-9,22,13,29
2017,,600,"2,304",7,-3,18,15,37
2018,,498,"2,023",-8,8,17,12,30
2019,,567,"2,218",5,-10,19,13,27
2020,,253,998,-7,-1,11,5,7
2021,,650,"2,620",-4,-11,19,15,19
2022,,547,"2,206",1,-12,22,12,22
