PITCHERS - SD,IP,H,R,ER,BB,SO,HR,ERA
"Manaea(L, 6-6)",4.0,10,8,8,1,7,0,4.74
"Wilson, S",2.0,1,0,0,1,1,0,3.57
Morejon,1.0,0,0,0,0,0,0,5.56
Batten,1.0,1,0,0,0,1,0,4.50
,8.0,12,8,8,2,9,0,
