PITCHERS - TB,IP,H,R,ER,BB,SO,HR,ERA
"Yarbrough(L, 0-3)",1.2,8,6,6,2,0,0,5.65
Armstrong,1.1,0,0,0,0,2,0,7.59
Garza Jr.,3.2,7,0,0,0,1,0,3.72
Adam,1.1,1,0,0,0,0,0,0.78
Kittredge,1.0,0,0,0,0,0,0,2.84
,9.0,16,6,6,2,3,0,
