PITCHERS - CWS,IP,H,R,ER,BB,SO,HR,ERA
"Giolito(W, 4-2)",6.0,8,5,2,2,3,2,3.54
"Bummer(H, 9)",1.0,1,0,0,0,1,0,3.12
"Graveman(H, 12)",1.0,0,0,0,0,3,0,2.55
"Hendriks(S, 16)",1.0,0,0,0,0,1,0,3.04
,9.0,9,5,2,2,8,2,
