Season,Bat Side,PA,Shifts,%,wOBA - No Shift,wOBA - Shift
2017,L,137,0,0.0,.384,
2018,L,329,60,18.2,.361,.379
2019,L,372,150,40.3,.316,.394
2020,L,183,146,79.8,.496,.370
2021,L,484,303,62.6,.374,.421
2022,L,543,413,76.1,.270,.327
