Season,Age,Sprint Speed (ft/s),HP to 1st,Bolts,Pos Rank,Age Rank,Lg Rank,% Rank
2017,23,25.8,4.54,,61,33,486,27.7
2018,24,26.0,4.51,,60,49,458,31.7
2019,25,25.6,4.61,,76,63,522,23.7
2020,26,26.4,4.59,,13,46,316,37.0
2021,27,25.8,4.67,,60,62,493,27.1
2022,28,25.4,4.67,,74,46,548,12.2
