 ,2+ Stars (0-90%), , , ,Components of Jump, , ,Jump
Year,Outs,Opp,%,OAA,Reaction,Burst,Route,Feet vs Avg,Feet Covered
2017,4,13,30.8,-1,0.1,-1.2,-0.4,-1.5,30.1
2018,6,22,27.3,-4,0.1,-2,-0.4,-2.3,30.8
2019,17,44,38.6,-8,-1.2,-1.7,0.2,-2.6,30
2021,14,49,28.6,-6,-1,-1.7,0.3,-2.4,29.7
2022,8,47,17,-12,-2.1,-2.5,0.8,-3.8,28.5
