BATTERS - PHI,AB,R,H,RBI,BB,SO,LOB,AVG,OPS
SchwarberLF,2,0,0,0,2,1,1,.212,.798
Hoskins1B,3,0,0,0,1,2,3,.251,.810
HarperDH,4,0,3,0,0,1,0,.294,.906
RealmutoC,4,0,0,0,0,2,4,.272,.810
Bohm3B,4,0,0,0,0,0,3,.288,.727
MarshCF,4,0,0,0,0,0,3,.240,.656
Segura2B,4,0,1,0,0,0,0,.275,.728
"Maton, NSS",3,0,1,0,0,1,0,.262,.913
"a-Castellanos, NPH",1,0,1,0,0,0,0,.270,.710
VierlingRF,3,0,0,0,1,0,2,.242,.627
,32,0,6,0,4,7,16,,
