PITCHERS - CWS,IP,H,R,ER,BB,SO,HR,ERA
"Martin(L, 1-3)",6.0,8,4,4,2,3,0,4.67
"Ruiz, J",1.0,0,0,0,0,0,0,3.67
"Kelly, J",1.0,0,0,0,0,1,0,8.59
,8.0,8,4,4,2,4,0,
