BATTERS - CLE,AB,R,H,RBI,BB,SO,LOB,AVG,OPS
KwanLF,4,1,1,1,0,2,1,.302,.779
"Rosario, ASS",4,0,1,0,0,1,1,.282,.718
"Ramírez, Jo3B",3,0,0,0,1,0,2,.274,.860
"Gonzalez, ORF",4,0,1,1,0,0,2,.290,.784
MaileC,0,0,0,0,0,0,0,.206,.604
Gimenez2B,4,0,1,0,0,1,2,.303,.854
"Miller, ODH",3,0,0,0,0,0,2,.245,.650
Arias1B,3,0,0,0,0,1,2,.156,.563
HedgesC,2,0,0,0,0,2,2,.166,.495
a-BrennanPH-RF,1,1,1,0,0,0,0,.333,.718
StrawCF,2,0,1,0,0,0,0,.219,.562
,30,2,6,2,1,7,14,,
