BATTERS - HOU,AB,R,H,RBI,BB,SO,LOB,AVG,OPS
Altuve2B,8,0,0,0,0,3,6,.000,.059
PeñaSS,8,1,1,1,0,2,1,.250,.794
"Alvarez, YLF",7,0,0,0,0,2,0,.267,1.086
DubónCF,0,0,0,0,0,0,0,.000,.000
Bregman3B,8,0,3,0,0,2,1,.333,.975
TuckerRF,7,0,2,0,1,3,2,.267,.780
Gurriel1B,8,0,3,0,0,0,5,.400,1.000
ManciniDH,2,0,0,0,0,1,3,.000,.143
b-DíazPH-DH,3,0,0,0,0,1,2,.143,.536
McCormickCF-LF,5,0,1,0,0,2,5,.286,.661
MaldonadoC,2,0,1,0,0,1,0,.143,.286
a-VázquezPH-C,5,0,0,0,0,3,5,.143,.286
,63,1,11,1,1,20,30,,
