BATTERS - STL,AB,R,H,RBI,BB,SO,LOB,AVG,OPS
Edman2B,3,0,0,0,1,1,0,.268,.737
CarlsonCF,4,0,0,0,0,3,0,.254,.725
Goldschmidt1B,4,2,2,0,0,2,0,.344,1.057
Arenado3B,4,1,4,3,0,0,0,.288,.872
YepezLF,4,0,1,0,0,2,3,.283,.832
PujolsDH,3,0,0,0,0,2,2,.193,.616
a-GormanPH-DH,1,0,0,0,0,0,1,.252,.755
DonovanRF,2,0,0,0,2,1,0,.303,.840
"Sosa, ESS",3,0,0,0,0,2,2,.200,.532
KniznerC,3,0,0,0,0,1,2,.185,.526
b-NootbaarPH,1,0,0,0,0,1,0,.143,.475
,32,3,7,3,3,15,10,,
