PITCHERS - CLE,IP,H,R,ER,BB,SO,HR,ERA
"Gaddis(L, 0-2)",4.0,8,7,7,1,3,5,18.41
Shaw,2.0,1,0,0,1,2,0,5.57
Morgan,2.0,1,0,0,0,2,0,3.79
McCarty,1.0,3,1,1,1,0,0,5.02
,9.0,13,8,8,3,7,5,
