PITCHERS - WSH,IP,H,R,ER,BB,SO,HR,ERA
"Fedde(L, 3-4)",1.1,8,6,6,1,0,1,4.60
"Machado, A",1.1,3,3,3,2,1,0,5.40
Voth,1.1,3,3,3,0,0,1,10.13
Espino,3.0,1,0,0,1,1,0,2.28
"Rogers, J",1.0,1,1,1,0,0,1,4.62
,8.0,16,13,13,4,2,3,
