BATTERS - NYM,AB,R,H,RBI,BB,SO,LOB,AVG,OPS
Guillorme2B,4,3,2,1,1,0,0,.363,.909
"Marte, SRF",4,2,3,4,1,0,0,.289,.774
LindorSS,5,0,3,2,0,0,1,.262,.800
Alonso1B,4,1,1,1,1,0,4,.286,.892
McNeilDH,5,0,0,0,0,1,4,.308,.812
Escobar3B,5,1,1,0,0,0,1,.224,.664
CanhaCF,4,3,2,0,1,0,0,.289,.747
PlummerLF,4,2,3,4,0,1,1,.444,1.666
NidoC,4,1,1,0,0,0,2,.213,.481
,39,13,16,12,4,2,13,,
