BATTERS - WSH,AB,R,H,RBI,BB,SO,LOB,AVG,OPS
Hernández2B,5,1,3,1,0,0,0,.295,.712
"Ruiz, KC",4,1,1,0,1,0,2,.281,.721
"Soto, JRF",4,1,1,0,1,1,3,.236,.831
"Cruz, NDH",1,1,0,0,0,0,0,.237,.659
"a-Hernandez, YPH-DH",3,0,0,0,0,1,3,.300,.805
Bell1B,4,0,3,3,0,0,0,.299,.791
"Thomas, LLF",1,0,0,1,2,0,1,.198,.590
Franco3B,3,0,1,0,1,0,3,.253,.654
RoblesCF,4,0,0,0,0,1,4,.248,.635
"Escobar, ASS",4,1,1,0,0,0,1,.222,.557
,33,5,10,5,5,3,17,,
