PITCHERS - PIT,IP,H,R,ER,BB,SO,HR,ERA
"Thompson, Z.R.",6.2,4,1,1,3,2,0,4.09
De Jong,1.1,2,0,0,1,0,0,2.12
Underwood Jr.,0.2,1,0,0,1,2,0,4.13
Banuelos,1.1,0,0,0,0,0,0,5.25
"Crowe(L, 3-6)(BS, 4)",0.0,2,2,1,0,0,0,3.38
,10.0,9,3,2,5,4,0,
