PITCHERS - MIA,IP,H,R,ER,BB,SO,HR,ERA
"Garrett, B",6.0,2,0,0,2,11,0,3.70
"Bass(H, 15)",1.0,2,0,0,1,1,0,1.40
"Okert(BS, 3)",1.0,1,1,0,0,2,0,2.35
"Scott, Tan",1.0,0,0,0,2,0,0,4.06
Floro,1.0,0,0,0,0,1,0,4.24
"Bleier(W, 2-1)",1.0,1,1,0,1,1,0,4.26
,11.0,6,2,0,6,16,0,
