BATTERS - SD,AB,R,H,RBI,BB,SO,LOB,AVG,OPS
ProfarLF,4,0,1,0,0,0,1,.253,.767
"Soto, JRF",2,0,0,0,2,0,1,.249,.897
"Machado, M3B",4,0,0,0,0,1,2,.289,.868
Bell1B,3,0,0,0,0,0,1,.297,.865
DruryDH,3,0,0,0,0,0,1,.268,.847
Cronenworth2B,3,0,0,0,0,1,0,.236,.728
MyersCF,2,0,0,0,0,1,0,.236,.579
a-GrishamPH-CF,1,0,0,0,0,0,0,.194,.650
KimSS,3,0,1,0,0,0,0,.247,.692
"Nola, AuC",2,0,0,0,0,1,1,.243,.624
b-MazaraPH,1,0,0,0,0,0,0,.269,.680
,28,0,2,0,2,4,7,,
