PITCHERS - SD,IP,H,R,ER,BB,SO,HR,ERA
"Martinez, N(L, 0-1)",5.0,7,4,4,4,3,3,4.50
Stammen,1.0,1,1,1,0,0,0,4.50
Crismatt,3.0,1,0,0,0,3,0,1.23
,9.0,9,5,5,4,6,3,
