BATTERS - HOU,AB,R,H,RBI,BB,SO,LOB,AVG,OPS
Altuve2B,4,1,1,0,0,2,1,.275,.881
PeñaSS,4,0,1,0,0,2,1,.263,.760
TuckerRF,4,0,1,0,0,1,2,.252,.815
Bregman3B,4,1,2,1,0,0,1,.241,.767
DíazLF,4,0,1,0,0,2,2,.234,.661
Gurriel1B,4,0,0,0,0,1,4,.235,.672
DubónCF,2,1,0,0,1,0,0,.209,.554
"a-Alvarez, YPH",0,0,0,0,1,0,0,.306,1.060
McCormickDH,4,0,2,0,0,1,4,.228,.715
"Lee, KC",3,0,1,1,0,1,2,.267,.713
b-MatijevicPH,1,0,1,1,0,0,0,.171,.593
,34,3,10,3,2,10,17,,
