PITCHERS - KC,IP,H,R,ER,BB,SO,HR,ERA
Greinke,5.0,5,3,3,2,3,1,4.41
"Garrett, A(H, 5)",0.2,0,0,0,1,0,0,5.47
"Cuas(H, 8)",0.2,0,2,2,2,1,0,3.18
"Coleman(BS, 1)",0.2,1,1,1,0,1,1,3.00
"Clarke(W, 2-1)",2.0,1,0,0,1,1,0,3.65
,9.0,7,6,6,6,6,2,
