BATTERS - KC,AB,R,H,RBI,BB,SO,LOB,AVG,OPS
Merrifield2B,4,1,0,1,1,0,1,.240,.637
Witt Jr.DH,4,0,1,0,0,0,1,.255,.751
1-IsbelPR-LF,0,1,0,0,0,0,0,.211,.556
"Perez, SC",5,1,1,3,0,3,2,.209,.687
Dozier3B,5,1,1,1,0,1,1,.254,.747
Pasquantino1B,3,1,0,0,2,2,0,.219,.646
ClarkeP,0,0,0,0,0,0,0,.000,.000
"Taylor, MCF",4,1,2,0,1,1,1,.278,.742
MelendezRF,3,1,2,0,1,1,0,.236,.747
PrattoLF-1B,3,1,1,2,1,1,2,.231,.790
"Garcia, MSS",3,0,1,1,0,0,3,.375,.813
"a-Lopez, NPH-SS",1,0,0,0,0,0,0,.241,.584
,35,8,9,8,6,9,11,,
