PITCHERS - TOR,IP,H,R,ER,BB,SO,HR,ERA
"Manoah(L, 0-1)",5.2,4,4,4,1,4,1,6.35
Mayza,1.0,0,0,0,0,0,0,0.00
"Garcia, Y",0.1,1,0,0,0,0,0,0.00
Pop,0.1,2,0,0,0,1,0,0.00
"Richards, T",1.0,0,0,0,1,1,0,0.00
Cimber,0.2,0,0,0,0,0,0,0.00
,9.0,7,4,4,2,6,1,
