Season,Tm,LG,POS,G,GS,INN,TC,PO,A,E,DP,RF,FPCT%
2016,COL,NL,P,6,3,20.2,4,1,3,0,0,,1.000
2017,COL,NL,P,29,29,162.0,25,6,17,2,2,,.920
2018,COL,NL,P,33,33,196.0,33,13,18,2,3,,.939
2019,COL,NL,P,28,28,174.0,39,17,20,2,0,,.949
2020,COL,NL,P,13,13,81.2,12,6,3,3,1,,.750
2021,COL,NL,P,32,32,180.0,40,14,24,2,1,,.950
2022,COL,NL,P,31,31,181.2,23,6,15,2,1,,.913
7 Seasons,COL,NL,P,172,169,996.0,176,63,100,13,8,,.926
