Season,Age,Sprint Speed (ft/s),HP to 1st,Bolts,Pos Rank,Age Rank,Lg Rank,% Rank
2017,22,25.5,4.61,,25,19,517,23.1
2018,23,24.0,4.65,,47,45,605,9.7
2019,24,24.2,,,43,75,613,10.4
2021,26,24.7,,,21,80,582,13.9
