Team,L,Type,W,L,ERA,G,GS,SV,IP,BF,H,R,ER,HR,BB,SO,WHIP
Colorado Rockies,MLB,Bases Empty,,,,31,,,98.2,448,102,,,19,44,92,1.48
Colorado Rockies,MLB,Bases Loaded,,,,3,,,1.0,6,2,,,0,1,1,3.00
Colorado Rockies,MLB,Runner at 1st,,,,31,,,37.2,139,39,,,8,4,15,1.14
Colorado Rockies,MLB,Runners at 1st & 2nd,,,,21,,,9.2,42,16,,,1,0,9,1.66
Colorado Rockies,MLB,Runners at 1st & 3rd,,,,17,,,6.1,22,2,,,0,1,3,0.47
Colorado Rockies,MLB,Runner at 2nd,,,,29,,,20.1,87,15,,,1,9,23,1.18
Colorado Rockies,MLB,Runners at 2nd & 3rd,,,,9,,,3.2,14,3,,,0,0,4,0.82
Colorado Rockies,MLB,Runner at 3rd,,,,15,,,3.2,21,6,,,1,4,3,2.73
Colorado Rockies,MLB,Scoring Position,,,,31,,,44.2,192,44,,,3,15,43,1.32
