PITCHERS - HOU,IP,H,R,ER,BB,SO,HR,ERA
"Urquidy(W, 9-4)",6.0,4,1,1,2,3,1,3.93
"Martinez, S",1.0,1,0,0,0,0,0,1.33
"Maton, P",0.1,1,1,1,2,0,0,3.66
"Stanek(H, 10)",0.2,0,0,0,1,1,0,0.55
"Neris(S, 1)",1.0,1,0,0,0,1,0,3.60
,9.0,7,2,2,5,5,1,
