BATTERS - HOU,AB,R,H,RBI,BB,SO,LOB,AVG,OPS
Altuve2B,5,2,3,1,0,0,0,.276,.885
PeñaSS,4,0,1,0,0,0,1,.263,.756
"Alvarez, YDH",2,1,1,2,1,0,1,.310,1.084
Bregman3B,4,0,1,0,0,0,3,.245,.779
TuckerRF,4,0,0,0,0,1,1,.250,.804
Gurriel1B,4,0,1,0,0,1,1,.235,.669
DíazLF,4,1,1,0,0,0,2,.234,.663
MeyersCF,4,0,1,1,0,2,1,.234,.624
MaldonadoC,4,1,1,1,0,0,1,.166,.576
,35,5,10,5,1,4,11,,
