BATTERS - AZ,AB,R,H,RBI,BB,SO,LOB,AVG,OPS
VarshoC,4,0,1,0,1,1,2,.246,.775
"Rojas, J3B",1,1,0,0,2,0,0,.233,.584
"a-Marte, KPH-2B",2,0,2,2,0,0,0,.231,.700
"Smith, PRF",3,1,1,1,0,2,2,.226,.672
b-LuplowPH-RF,2,0,0,0,0,2,3,.182,.705
"Walker, C1B",3,1,1,2,1,2,2,.210,.765
PeraltaLF,4,0,0,0,0,1,3,.200,.685
HummelDH,4,0,0,0,0,2,1,.175,.643
"Thomas, ACF",4,1,1,1,0,1,1,.296,.951
PerdomoSS,3,1,0,0,1,2,0,.203,.616
Hager2B-3B,3,1,0,0,1,1,1,.000,.250
,33,6,6,6,6,14,15,,
