PITCHERS - NYM,IP,H,R,ER,BB,SO,HR,ERA
"Walker, T(W, 8-2)",6.0,7,3,3,1,3,2,2.67
"Ottavino(H, 13)",1.2,1,0,0,1,0,0,2.35
"Díaz(S, 22)",1.1,1,0,0,0,4,0,1.55
,9.0,9,3,3,2,7,2,
