BATTERS - NYY,AB,R,H,RBI,BB,SO,LOB,AVG,OPS
LeMahieu2B,5,0,0,1,0,1,3,.278,.790
JudgeCF,4,1,2,1,1,1,1,.296,1.035
Rizzo1B,4,1,2,1,0,1,5,.225,.832
TorresDH,4,0,0,0,0,2,3,.263,.796
CarpenterRF,4,0,0,0,0,1,2,.309,1.221
Donaldson3B,4,0,0,0,0,0,0,.225,.698
"Hicks, ALF",3,1,2,0,1,0,0,.243,.719
Kiner-FalefaSS,3,0,2,0,0,0,0,.276,.645
a-GalloPH,1,0,0,0,0,1,1,.161,.628
GonzalezSS,0,0,0,0,0,0,0,.226,.656
TrevinoC,4,0,1,0,0,0,3,.263,.732
,36,3,9,3,2,7,18,,
