BATTERS - TB,AB,R,H,RBI,BB,SO,LOB,AVG,OPS
WallsSS,4,1,2,0,0,1,0,.168,.527
"b-Díaz, YPH-3B",1,0,0,0,0,0,2,.257,.711
"Lowe, JRF-CF",5,1,1,0,0,2,2,.179,.552
ArozarenaLF,5,1,4,1,0,0,0,.259,.724
Choi1B,4,1,1,0,1,2,4,.285,.848
Bruján2B-SS,4,1,1,2,1,2,2,.165,.470
"Raley, LDH",3,0,0,0,0,2,1,.143,.393
c-ArandaPH,1,0,1,0,0,0,0,.667,1.334
Paredes3B-2B,5,1,3,3,0,0,2,.232,.867
"Mejía, FC",4,0,1,0,0,1,1,.232,.612
"Phillips, BCF",3,0,0,0,0,1,1,.161,.497
"a-Ramírez, HPH-RF",0,0,0,0,1,0,0,.305,.763
,39,6,14,6,3,11,15,,
