PITCHERS - TB,IP,H,R,ER,BB,SO,HR,ERA
Kluber,5.1,5,2,2,0,6,1,3.45
"Beeks(BS, 2)",1.2,2,3,3,1,2,1,2.59
"Garza Jr.(W, 1-2)",2.0,1,0,0,1,1,0,3.46
,9.0,8,5,5,2,9,2,
