BATTERS - PIT,AB,R,H,RBI,BB,SO,LOB,AVG,OPS
GamelRF,4,1,3,1,0,0,0,.301,.816
"Reynolds, BCF",3,0,0,0,1,0,2,.209,.639
Hayes3B,4,0,1,1,0,2,3,.301,.771
VogelbachDH,4,0,0,0,0,1,4,.276,.820
Chavis1B,4,0,0,0,0,2,4,.258,.737
VanMeter2B-C,4,0,0,0,0,2,0,.156,.452
"Castillo, DSS",3,0,1,0,0,1,0,.238,.560
a-SuwinskiPH,1,0,0,0,0,1,0,.192,.384
MarisnickLF,3,0,1,0,0,1,1,.170,.417
b-TsutsugoPH,0,0,0,0,1,0,0,.188,.507
PerezC,3,1,2,0,0,1,1,.233,.700
1-TuckerPR-2B,1,0,0,0,0,1,1,.163,.367
,34,2,8,2,2,12,16,,
