PITCHERS - PIT,IP,H,R,ER,BB,SO,HR,ERA
Brubaker,5.0,3,2,2,2,9,0,5.68
Banda,0.2,1,0,0,0,1,0,1.80
"Crowe(L, 1-2)",1.1,2,4,3,2,0,0,2.50
Sulser,1.0,2,3,0,1,1,0,0.00
,8.0,8,9,5,5,11,0,
