PITCHERS - CIN,IP,H,R,ER,BB,SO,HR,ERA
Overton,5.1,6,2,2,0,4,0,2.53
Cessa,1.2,0,0,0,0,2,0,3.00
"Sims(W, 1-0)",1.0,2,0,0,1,3,0,12.60
Strickland,1.0,0,0,0,1,3,0,6.17
,9.0,8,2,2,2,12,0,
