PITCHERS - PHI,IP,H,R,ER,BB,SO,HR,ERA
"Nola, Aa(L, 2-1)",4.2,7,6,6,0,6,2,3.12
Hand,0.0,2,1,1,0,0,0,3.38
Bellatti,0.1,0,0,0,1,1,0,3.00
Brogdon,1.0,0,0,0,0,2,0,7.71
Robertson,0.2,3,1,1,0,0,1,5.40
Gibson,1.1,1,0,0,1,1,0,0.00
,8.0,13,8,8,2,10,3,
