BATTERS - TOR,AB,R,H,RBI,BB,SO,LOB,AVG,OPS
Espinal2B,5,0,1,0,0,1,4,.275,.732
BichetteSS,5,1,2,0,0,0,2,.250,.690
Guerrero1B,4,1,1,1,1,0,1,.256,.798
"Hernández, TRF",4,1,1,0,1,0,1,.161,.476
"Jansen, DC",4,1,0,0,1,1,5,.289,1.146
Gurriel Jr.DH,4,0,0,0,0,2,5,.230,.615
"Chapman, M3B",4,1,2,2,0,0,1,.199,.643
BiggioLF,3,1,1,1,0,1,1,.097,.372
b-SpringerPH-CF,0,0,0,0,1,0,0,.271,.868
ZimmerCF,1,0,0,0,1,0,1,.125,.442
a-KirkPH,1,0,1,1,0,0,0,.282,.722
"1-Tapia, RPR-CF-LF",1,0,1,1,0,0,0,.233,.550
,36,6,10,6,5,5,21,,
