BATTERS - NYY,AB,R,H,RBI,BB,SO,LOB,AVG,OPS
LeMahieu3B-1B,4,3,3,1,1,1,1,.279,.786
LoáisigaP,0,0,0,0,0,0,0,.000,.000
JudgeCF,3,2,2,1,0,0,2,.284,.982
GalloRF,2,1,1,2,0,0,3,.164,.630
Rizzo1B,2,1,0,0,1,0,3,.224,.841
Gonzalez3B,1,0,0,0,0,0,0,.234,.679
Torres2B,5,1,0,1,0,1,8,.268,.809
CarpenterDH-1B,4,1,1,3,1,1,1,.354,1.380
"Hicks, ALF",4,1,2,2,1,1,2,.236,.713
Kiner-FalefaSS,4,0,1,1,0,0,2,.271,.643
LocastroRF-CF,5,2,3,2,0,1,1,.300,.964
HigashiokaC,3,1,1,0,2,1,1,.174,.546
,37,13,14,13,6,6,24,,
