,PA,AB,R,H,HR,RBI,SB,AVG,OBP,SLG,OPS
2022,617,560,64,139,1,34,10,.248,.311,.318,.629
10 Seasons,4797,4278,590,1144,71,369,91,.267,.341,.375,.716
