Year,Team,Avg HR Trot,Actual HR,xHR,HR-xHR,Doubters,Mostly Gone,No Doubters,No Doubter %
2016,,21.6,6,4.8,1,3,7,0,0.0
2017,,21.9,9,9.7,-1,5,10,2,22.2
2018,,23.1,15,10.8,4,3,9,4,26.7
2019,,24.0,14,13.6,0,4,6,8,57.1
2020,,22.7,3,4.0,-1,5,4,2,66.7
2021,,23.4,21,18.3,3,3,16,8,38.1
2022,,26.4,1,3.7,-3,6,4,1,100.0
Player,,23.1,69,65.0,4,29,56,25,36.2
