Season,Tm,LG,PA,TB,LOB,SAC,SF,BABIP,XBH,GIDP,GIDPO,NP,P/PA,K/PA,HR/PA,BB/K,ISO,ROE,WO
2013,PHI,NL,131,40,31,0,0,.368,5,2,9,495,3.779,.198,.000,.346,.041,1,0
2014,PHI,NL,125,32,46,1,1,.321,3,1,12,495,3.960,.264,.008,.273,.044,2,0
2015,PHI,NL,452,141,129,4,1,.342,25,6,57,1628,3.602,.190,.002,.465,.077,8,0
2016,PHI,NL,622,215,160,5,2,.363,31,6,68,2427,3.902,.186,.010,.569,.099,5,0
2017,PHI,NL,577,215,141,0,1,.353,41,8,53,2316,4.014,.180,.016,.587,.127,8,1
2018,PHI,NL,708,219,179,1,3,.315,33,12,62,3009,4.250,.219,.021,.613,.109,8,0
2019,PHI,NL,667,250,240,0,4,.313,48,9,81,2600,3.898,.150,.021,.450,.129,6,0
2020,CLE,AL,261,95,79,1,0,.364,23,3,33,1076,4.123,.218,.011,.421,.124,2,2
2021,CLE,AL,420,162,126,0,2,.256,37,6,36,1641,3.907,.214,.043,.422,.199,4,1
2021,CWS,AL,217,58,81,0,1,.286,7,5,36,816,3.760,.207,.014,.467,.067,0,0
2021,2 Teams,,637,220,207,0,3,.266,44,11,72,2457,3.857,.212,.033,.437,.154,4,1
2022,WSH,NL,617,178,185,3,2,.309,33,9,74,2368,3.838,.185,.002,.395,.070,2,0
10 Seasons,4 Teams,,4797,1605,1397,15,17,.325,286,67,521,18871,3.934,.193,.015,.489,.108,46,4
