 , ,Bases Empty, , , ,Runners On Base
Season,Team,Pitches,Tempo,Fast %,Slow %,Pitches,Tempo,Fast %,Slow %
2013,,176,14.6,54.0%,1.7%,58,19.9,1.7%,13.8%
2014,,162,16.2,35.8%,1.2%,58,23.0,0.0%,15.5%
2015,,485,15.9,39.8%,2.5%,265,22.1,10.2%,17.0%
2016,,833,16.8,35.2%,2.4%,332,23.4,4.5%,17.5%
2017,,909,15.6,43.0%,0.6%,328,21.5,1.5%,8.8%
2018,,1197,15.6,41.9%,1.1%,457,21.6,2.2%,9.6%
2019,,809,16.6,32.5%,1.5%,433,22.4,2.3%,11.8%
2020,,352,16.7,30.7%,0.9%,176,22.8,1.1%,9.1%
2021,,790,16.3,34.1%,0.3%,353,22.6,1.4%,13.0%
2022,,819,16.8,32.0%,2.0%,288,23.0,1.0%,12.5%
