 , , , ,1B, ,2B, ,3B, ,SS, ,LF, ,CF, ,RF
Year,Total Throws,Max,Overall,Throws,Arm,Throws,Arm,Throws,Arm,Throws,Arm,Throws,Arm,Throws,Arm,Throws,Arm
2020,246,78.0,71.8,--,--,246,71.8,--,--,--,--,--,--,--,--,--,--
2021,618,86.3,73.8,--,--,616,73.8,--,--,2,--,--,--,--,--,--,--
2022,584,83.0,75.6,--,--,527,74.1,25,--,--,--,32,--,--,--,--,--
