PITCHERS - ATL,IP,H,R,ER,BB,SO,HR,ERA
"Wright(W, 1-0)",6.0,2,0,0,1,6,0,0.00
"Minter(H, 1)",1.0,0,0,0,0,0,0,0.00
"Iglesias, R(H, 1)",1.0,1,0,0,0,1,0,0.00
"Jansen(S, 1)",1.0,0,0,0,0,1,0,0.00
,9.0,3,0,0,1,8,0,
