PITCHERS - CWS,IP,H,R,ER,BB,SO,HR,ERA
"Lynn(W, 7-5)",6.1,7,2,2,1,6,0,3.99
Bummer,0.2,1,0,0,0,0,0,3.05
"López, R",1.0,0,0,0,0,0,0,2.98
Graveman,1.0,2,0,0,0,2,0,2.72
,9.0,10,2,2,1,8,0,
