BATTERS - CLE,AB,R,H,RBI,BB,SO,LOB,AVG,OPS
KwanDH,4,0,0,0,1,1,5,.288,.743
"Rosario, ASS",5,0,2,1,0,2,5,.276,.702
"Ramírez, Jo3B",4,0,1,0,0,0,2,.281,.885
"Naylor, J1B",4,0,0,0,0,1,2,.258,.758
"Gonzalez, ORF",4,0,1,0,0,1,2,.297,.814
Gimenez2B,4,1,1,0,0,1,1,.299,.845
BensonLF,4,0,2,1,0,1,1,.178,.460
HedgesC,3,0,0,0,0,1,1,.182,.537
a-PalaciosPH,1,0,0,0,0,0,1,.241,.593
StrawCF,4,1,3,0,0,0,0,.212,.544
,37,2,10,2,1,8,20,,
