BATTERS - CWS,AB,R,H,RBI,BB,SO,LOB,AVG,OPS
AndrusSS,5,1,1,1,0,0,4,.253,.722
Moncada3B,5,2,4,1,0,0,0,.215,.634
"Abreu, J1B",5,0,3,2,0,0,1,.313,.844
"Jiménez, EDH",4,1,0,0,1,1,4,.311,.885
SheetsRF,4,1,1,2,0,1,1,.241,.711
VaughnLF,3,1,1,1,0,2,0,.290,.800
EngelCF,1,0,0,0,0,0,0,.224,.584
PollockCF-LF,4,0,0,0,0,1,0,.244,.673
GrandalC,3,1,2,1,1,0,0,.207,.590
Harrison2B,3,1,1,0,1,2,0,.253,.683
,37,8,13,8,3,7,10,,
