BATTERS - CHC,AB,R,H,RBI,BB,SO,LOB,AVG,OPS
Morel2B-CF,5,1,1,3,0,1,2,.281,.842
ContrerasC,2,2,0,0,3,2,0,.280,.916
HappLF,5,0,3,0,0,0,1,.286,.853
Wisdom3B,3,0,0,0,1,2,2,.229,.785
CrookCF,2,0,0,0,0,0,0,.400,1.000
a-OrtegaPH-CF,0,0,0,1,1,0,0,.261,.740
c-HoernerPH-SS,1,0,0,0,1,0,1,.308,.771
GomesDH,2,0,0,0,0,0,0,.227,.585
b-RivasPH-DH,2,0,0,0,0,1,6,.221,.628
Higgins1B,2,1,1,0,2,1,0,.310,.946
"Velazquez, NRF",4,1,1,1,0,1,2,.296,.811
SimmonsSS-2B,2,1,0,0,2,0,1,.176,.419
,30,6,6,5,10,8,15,,
