BATTERS - BOS,AB,R,H,RBI,BB,SO,LOB,AVG,OPS
"Duran, JaCF",5,1,2,2,0,0,1,.333,.931
Devers3B,5,0,1,0,0,1,1,.326,.970
MartinezDH,4,0,1,0,0,2,2,.312,.877
BogaertsSS,4,0,1,0,0,0,1,.325,.861
VerdugoLF,4,0,1,0,0,0,2,.265,.704
Story2B,4,2,1,0,0,2,1,.225,.717
Cordero1B,4,1,2,0,0,2,2,.259,.750
VázquezC,3,1,1,0,1,1,2,.292,.765
Bradley Jr.RF,2,0,1,3,0,1,0,.209,.563
a-RefsnyderPH-RF,1,0,0,0,1,0,0,.333,.994
,36,5,11,5,2,9,12,,
