PITCHERS - SD,IP,H,R,ER,BB,SO,HR,ERA
Darvish,6.0,1,0,0,3,7,0,4.43
"Wilson, S(H, 4)",1.0,0,0,0,0,1,0,1.23
"García, L(H, 2)",0.1,2,2,2,0,1,0,6.00
"Rogers(BS, 1)",1.2,2,0,0,0,2,0,0.00
"Suarez, R(W, 1-1)",1.0,0,0,0,0,1,0,5.40
,10.0,5,2,2,3,12,0,
