PITCHERS - ATL,IP,H,R,ER,BB,SO,HR,ERA
Fried,6.2,6,2,2,1,9,0,2.77
"Smith, W.M.(H, 9)",0.1,1,0,0,1,1,0,3.54
"Minter(W, 4-1)(BS, 2)",1.0,2,1,1,0,3,1,1.74
"Jansen(S, 20)",1.0,0,0,0,0,3,0,3.13
,9.0,9,3,3,2,16,1,
