BATTERS - ATL,AB,R,H,RBI,BB,SO,LOB,AVG,OPS
Acuña Jr.RF,4,1,1,0,0,2,3,.281,.827
HerediaRF,0,0,0,0,0,0,0,.130,.587
SwansonSS,4,1,2,2,0,0,0,.307,.882
Olson1B,3,0,0,0,1,1,2,.249,.810
Riley3B,4,0,2,1,0,1,1,.255,.836
d'ArnaudC,3,1,1,0,1,0,2,.266,.805
OzunaDH,3,1,1,2,1,0,1,.227,.696
Arcia2B,4,0,0,0,0,1,2,.302,.826
DuvallLF,4,0,0,0,0,3,3,.198,.611
"Harris II, MCF",4,1,2,0,0,0,1,.327,.884
,33,5,9,5,3,8,15,,
