BATTERS - SD,AB,R,H,RBI,BB,SO,LOB,AVG,OPS
ProfarLF,4,0,0,0,0,1,1,.250,.771
"Soto, JRF",3,0,0,0,1,0,0,.267,.620
"Machado, M3B",4,0,1,0,0,1,0,.235,.749
DruryDH,2,0,0,0,0,2,0,.000,.000
a-BellPH-DH,2,0,0,0,0,1,2,.200,.650
Myers1B,4,1,1,1,0,0,2,.083,.416
Cronenworth2B,4,1,2,0,0,1,0,.118,.236
KimSS,4,1,1,0,0,2,1,.250,.855
GrishamCF,3,0,1,1,0,1,1,.455,1.600
"Nola, AuC",2,0,1,1,0,1,1,.455,1.098
,32,3,7,3,1,10,8,,
