PITCHERS - SD,IP,H,R,ER,BB,SO,HR,ERA
"Clevinger(L, 0-1)",2.2,6,5,4,2,3,1,13.50
"Wilson, S",1.1,0,0,0,2,2,0,0.00
Johnson,2.0,0,0,0,0,2,0,0.00
"Hill, T",1.0,0,0,0,0,1,0,0.00
"Martinez, N",1.0,0,0,0,0,2,0,2.45
,8.0,6,5,4,4,10,1,
